region,Country Code,program,Status,SurveyRequest,SurveyComplete,WatedTrip,AssetLoad,Activation,Decomm,SurveyCycleTime,InstallCycleTime,e2eCycleTime
EU,IT,Locker,Closed,2023-03-16 02:00:00,,,,2017-12-18 16:00:00,10/7/22 3:00,,,
EU,IT,Locker,Prepare property for installation,2021-09-02 01:00:00,2023-06-07 14:16:00,,,,,643,,
EU,ES,Locker,Activated,,2023-03-23 10:22:00,,2023-03-24,2023-04-12 01:38:00,,,19,
EU,DE,Locker,Activated,2021-01-20 01:02:00,,,2021-04-16,2021-06-24 05:24:00,,,69,155
EU,GB,Locker,Activated,2020-07-06 22:00:00,2020-07-13 07:31:00,,2020-07-20,2020-07-29 16:00:00,,6,9,22
EU,DE,Apt Locker,Activated,2021-11-27 01:00:00,2022-03-23 08:55:00,,2022-03-23,2022-03-30 07:21:00,,116,7,123
APAC,AU,Locker,Closed,2022-12-04 05:00:00,2022-12-13 05:00:00,,,,,9,,
NA,US,Locker,Compliance Review,2023-06-06 20:48:00,2023-06-22 03:00:00,,2021-07-21,2021-10-08 22:00:00,,15,79,
NA,US,Locker,Closed,2021-01-04 22:00:00,2021-01-12 12:00:00,,,,,7,,
EU,DE,Locker,Approve product configuration,2023-05-31 00:01:00,2023-05-25 03:00:00,,,,,,,
EU,GB,Locker,Closed,2020-01-14 00:00:00,2020-03-30 09:06:00,,,2020-06-03 16:00:00,7/9/20 4:00,76,,141
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for installation,2023-07-08 00:00:00,2023-07-13 08:52:00,,2023-07-17,,,5,,
EU,IT,Locker,Prepare property for installation,2023-01-10 01:00:00,2023-06-07 14:24:00,,,,,148,,
EU,ES,Locker,Activated,,2023-02-21 05:24:00,,2023-03-13,2023-04-03 03:10:00,,,21,
EU,DE,Locker,Activated,2021-02-09 01:02:00,2021-03-23 08:20:00,,2021-03-23,2021-06-18 08:35:00,,42,87,129
EU,GB,Locker,Activated,2020-10-30 22:01:00,2020-11-23 06:40:00,,2020-12-10,2021-01-04 16:00:00,,23,25,65
EU,DE,Apt Locker,Activated,,2021-11-26 07:00:00,,2021-11-26,2021-12-04 04:39:00,,,8,
APAC,AU,Locker,Closed,2022-03-24 06:00:00,2022-04-11 07:00:00,,2022-03-23,,,18,,
NA,US,Locker,Send approval forms,,2022-06-27 12:00:00,,2021-07-14,2021-08-29 22:00:00,,,46,
NA,US,Locker,Closed,2021-01-04 22:00:00,2021-01-16 12:00:00,,,,,11,,
EU,DE,Locker,Closed,2021-07-26 15:00:00,2021-12-01 06:05:00,,2021-12-01,2021-12-15 03:47:00,4/11/23 15:00,127,14,141
EU,GB,Locker,Activated,,2022-07-29 08:57:00,,2022-08-01,2022-08-02 16:00:00,,,1,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for consultation,2023-07-07 03:43:00,,,,,,,,
EU,IT,Locker,Prepare property for installation,2022-06-09 01:00:00,2023-06-07 14:21:00,,,,,363,,
EU,ES,Locker,Activated,,2023-02-21 05:24:00,,2023-03-13,2023-04-03 03:10:00,,,21,
EU,DE,Locker,Activated,2021-02-09 01:02:00,2021-06-30 05:15:00,,2021-06-30,2021-07-20 13:00:00,,141,20,161
EU,GB,Locker,Activated,2020-07-06 22:00:00,2020-07-13 07:31:00,,2020-07-27,2020-07-30 16:00:00,,6,3,23
EU,DE,Locker,Closed,2021-08-25 15:00:00,2022-04-01 03:07:00,,2022-04-01,2022-04-01 00:00:00,,218,,218
APAC,AU,Locker,Activated,2022-02-28 05:00:00,2022-03-03 05:00:00,,2022-03-04,2022-10-18 18:06:00,4/12/22,3,228,232
NA,US,Locker,Activated,2022-07-12 12:00:00,2022-07-20 12:00:00,,2022-12-28,2023-02-09 12:00:00,,8,43,212
NA,US,Locker,Closed,2021-12-13 22:00:00,2021-12-22 22:00:00,,,,,9,,
EU,DE,Locker,Closed,2021-05-04 15:00:00,2021-08-13 03:44:00,,2021-08-13,2021-08-18 12:44:00,6/14/23 15:00,100,5,105
EU,GB,Locker,Closed,2022-03-31 01:00:00,2022-04-07 07:32:00,,,,,7,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for installation,2023-07-07 00:01:00,2023-07-11 07:11:00,,2023-07-17,,,4,,
EU,IT,Locker,Activated,2021-11-04 02:02:00,2021-11-25 08:50:00,,2022-06-16,2022-06-29 02:13:00,,21,13,237
EU,ES,Locker,Activated,,2023-02-21 05:24:00,,2023-03-13,2023-04-05 03:49:00,,,23,
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-07-08 15:06:00,,78,90,169
EU,GB,Locker,Activated,2021-03-06 01:02:00,,,2021-10-20,2021-10-26 16:00:00,,,6,234
EU,DE,Apt Locker,Activated,,2022-04-01 03:08:00,,2022-04-01,2022-04-10 00:31:00,,,9,
APAC,AU,Locker,Activated,2022-03-01 05:00:00,2022-03-04 05:00:00,,2022-03-10,2022-10-18 18:06:00,3/23/22,3,222,231
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-03-29 12:00:00,,,,,11,,
NA,US,Locker,Set up software,2023-02-03 12:00:00,2023-02-10 12:00:00,,2023-06-15,2023-07-12 00:00:00,,7,27,158
EU,DE,Locker,Approve product configuration,2023-05-31 00:01:00,2023-06-02 03:00:00,,,,,2,,
EU,GB,Locker,Closed,2020-03-25 22:00:00,2020-03-30 10:14:00,,,,,4,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Schedule consultation,,,,,,,,,
EU,IT,Locker,Activated,2021-07-30 01:49:00,2021-08-30 06:32:00,,2021-09-03,2021-10-12 09:17:00,,31,39,74
EU,ES,Locker,Activated,,2023-02-21 05:24:00,,2023-03-13,2023-04-04 03:48:00,,,22,
EU,DE,Locker,Activated,2021-02-09 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-07-08 08:28:00,,58,90,149
EU,GB,Locker,Activated,2021-03-18 02:01:00,,,2021-10-20,2021-11-04 17:00:00,,,15,231
EU,DE,Apt Locker,Activated,,2022-03-14 14:45:00,,2022-03-15,2022-03-17 00:37:00,,,2,
APAC,AU,Locker,Closed,2022-02-14 05:00:00,2022-02-24 05:00:00,,,,,10,,
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-03-31 12:00:00,,,,,13,,
NA,US,Locker,Closed,2021-11-22 22:00:00,2021-12-09 22:00:00,,,,,17,,
EU,DE,Locker,Activated,2022-05-17 01:00:00,2023-03-16 06:48:00,,2023-03-16,2023-04-27 04:58:00,,303,42,345
EU,GB,Locker,Closed,2020-03-25 22:00:00,2020-03-30 10:14:00,,,,,4,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for consultation,2023-07-15 00:00:00,,,,,,,,
EU,IT,Locker,Activated,2019-08-08 01:34:00,2020-07-22 10:03:00,,2021-08-23,2021-10-13 09:45:00,,349,51,797
EU,ES,Locker,Activated,2023-04-18 18:00:00,2023-05-24 03:30:00,,2023-05-25,2023-06-09 03:38:00,,35,15,51
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-05-19 13:05:00,,78,40,119
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-16 02:51:00,,2021-05-13,2021-05-27 16:00:00,,25,14,125
EU,DE,Apt Locker,Activated,,2022-03-14 14:45:00,,2022-03-15,2022-03-19 03:25:00,,,4,
APAC,AU,Locker,Activated,2022-02-14 05:00:00,2022-02-23 05:00:00,,2022-04-12,2022-10-18 18:06:00,5/4/22,9,189,246
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-04-05 12:00:00,,,,,18,,
NA,US,Locker,Closed,2021-12-07 22:00:00,2021-12-23 22:00:00,,,,,16,,
EU,DE,Locker,Closed,2022-06-15 01:06:00,2022-07-04 05:24:00,,2022-08-02,2022-08-18 06:54:00,3/29/23 15:00,19,16,64
EU,GB,Locker,Closed,2020-03-25 22:00:00,2020-03-30 10:14:00,,,,,4,,
EU,DE,Locker,Closed,2021-07-20 08:20:00,,,,,,,,
EU,IT,Locker,Wait for consultation,2023-07-15 00:00:00,,,,,,,,
EU,IT,Locker,Activated,2021-11-04 02:02:00,2022-03-08 02:01:00,,2022-11-24,2022-12-16 01:58:00,,123,22,406
EU,ES,Locker,Activated,,2023-03-23 10:22:00,,2023-03-23,2023-04-13 02:47:00,,,21,
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-03-23 08:20:00,,2021-03-23,2021-05-28 14:18:00,,62,66,128
EU,GB,Locker,Closed,2021-01-22 01:01:00,2021-02-16 02:51:00,,2021-05-13,2021-05-24 16:00:00,3/20/23 17:00,25,11,122
EU,DE,Apt Locker,Activated,,2022-03-14 14:45:00,,2022-03-15,2022-03-19 03:25:00,,,4,
APAC,AU,Locker,Closed,2022-02-14 05:00:00,2022-02-22 05:00:00,,,,,8,,
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-03-22 12:00:00,,,,,4,,
NA,US,Locker,Activated,2023-02-03 12:00:00,2023-02-13 12:00:00,,2023-06-15,2023-07-13 03:00:00,,10,28,159
EU,DE,Locker,Activated,2022-05-24 01:02:00,2023-02-24 03:00:00,,2023-05-23,2023-06-02 05:19:00,,276,10,374
EU,GB,Locker,Closed,2021-02-04 08:32:00,2021-03-08 10:15:00,,,,,32,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for consultation,2023-07-15 00:00:00,,,,,,,,
EU,IT,Locker,Activated,2019-06-21 03:57:00,2020-07-22 10:03:00,,2021-12-06,2022-02-28 10:32:00,,397,84,983
EU,ES,Locker,Activated,2023-04-26 18:00:00,2023-04-27 09:42:00,,2023-05-29,2023-06-16 07:53:00,,0,18,50
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-03-23 08:20:00,,2021-03-23,2021-04-18 22:53:00,,62,26,88
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-14 12:22:00,,2021-07-14,2021-08-24 16:00:00,,23,41,214
EU,DE,Apt Locker,Activated,,2022-03-14 14:45:00,,2022-03-15,2022-03-19 03:25:00,,,4,
APAC,AU,Locker,Closed,2022-02-14 05:00:00,2022-02-16 05:00:00,,2022-02-17,,,2,,
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-04-03 12:00:00,,,,,16,,
NA,US,Locker,Closed,2021-09-22 22:00:00,2021-10-03 12:00:00,,,,,10,,
EU,DE,Locker,Closed,2022-08-10 01:01:00,2022-11-04 07:52:00,,2022-11-04,2022-11-10 05:11:00,5/25/23 15:00,86,6,92
EU,GB,Locker,Closed,2021-02-04 08:32:00,2021-03-08 10:15:00,,,,,32,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for consultation,2023-07-15 00:00:00,,,,,,,,
EU,IT,Locker,Activated,2019-06-21 03:57:00,2020-04-02 01:14:00,,,2022-09-13 00:47:00,12/22/21 3:00,285,,1179
EU,ES,Locker,Activated,2023-04-26 18:00:00,2023-04-27 09:42:00,,2023-05-03,2023-05-11 00:58:00,,0,8,14
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-05-19 03:15:00,,78,40,119
EU,GB,Locker,Closed,2021-01-22 01:01:00,2021-02-14 12:22:00,,2021-05-13,2021-05-27 16:00:00,3/28/23 16:00,23,14,125
EU,DE,Apt Locker,Activated,,2022-03-14 14:45:00,,2022-03-15,2022-03-19 03:25:00,,,4,
APAC,AU,Locker,Activated,2022-02-14 05:00:00,2022-02-23 05:00:00,,2022-04-12,2022-10-18 18:06:00,5/5/22,9,189,246
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-03-29 12:00:00,,,,,11,,
NA,US,Locker,Closed,2023-02-03 12:00:00,2023-02-15 12:00:00,,,,,12,,
EU,DE,Locker,Closed,2021-04-04 15:00:00,2021-06-02 08:15:00,,2021-06-02,2021-06-12 02:32:00,5/29/23 15:00,58,10,68
EU,GB,Locker,Closed,2021-02-04 08:32:00,2021-03-02 08:04:00,,,,,25,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for consultation,2023-07-15 00:00:00,,,,,,,,
EU,IT,Locker,Prepare property for installation,2022-05-04 01:00:00,2023-06-07 14:21:00,,,,,399,,
EU,ES,Locker,Activated,2023-04-26 18:00:00,2023-04-27 09:42:00,,2023-05-03,2023-05-10 01:08:00,,0,7,13
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-03-23 08:20:00,,2021-03-23,2021-04-18 22:23:00,,62,26,88
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-11 05:43:00,,2021-05-13,2021-05-23 16:00:00,,20,10,121
EU,DE,Apt Locker,Set up software,,2023-05-10 04:01:00,,2023-05-31,,,,,
APAC,AU,Locker,Closed,2022-02-14 05:00:00,2022-02-23 05:00:00,,,,,9,,
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-03-22 12:00:00,,,,,4,,
NA,US,Locker,Activated,2023-02-03 12:00:00,2023-02-13 12:00:00,,2023-06-15,2023-07-11 03:00:00,,10,26,157
EU,DE,Locker,Closed,2021-05-20 15:00:00,2021-08-13 03:47:00,,2021-08-13,2021-08-18 12:44:00,5/23/23 15:00,84,5,89
EU,GB,Locker,Closed,2021-02-04 08:32:00,2021-03-02 08:08:00,,,,,25,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for consultation,2023-07-15 00:00:00,,,,,,,,
EU,IT,Locker,Prepare property for installation,2022-07-12 01:00:00,2023-06-07 14:21:00,,,,,330,,
EU,ES,Locker,Schedule installation,2023-04-26 18:00:00,2023-04-27 09:42:00,,2023-05-29,,,0,,
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-03-23 08:20:00,,2021-03-23,2021-04-26 11:19:00,,62,34,96
EU,GB,Locker,Activated,2021-09-01 01:01:00,2021-09-17 04:24:00,,2022-04-19,2022-04-19 16:00:00,,16,0,230
EU,DE,Locker,Activated,2020-10-11 15:00:00,2020-10-23 08:54:00,,,2021-02-15 10:41:00,,11,,126
APAC,AU,Locker,Activated,2022-02-14 05:00:00,2022-02-23 05:00:00,,2022-04-12,2022-10-18 18:06:00,5/5/22,9,189,246
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-04-01 12:00:00,,,,,14,,
NA,US,Locker,Approve product configuration,2023-02-03 12:00:00,2023-03-02 12:00:00,,,,,27,,
EU,DE,Locker,Closed,2021-02-02 15:00:00,2021-06-15 00:43:00,,2021-06-15,2021-07-08 15:06:00,7/10/23 15:00,132,23,156
EU,GB,Locker,Closed,2020-04-20 22:00:00,2020-07-28 13:48:00,,,,,98,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Send approval forms,2023-07-05 00:00:00,2023-07-14 02:49:00,,,,,9,,
EU,IT,Locker,Prepare property for installation,2022-06-08 01:00:00,2023-06-07 14:21:00,,,,,364,,
EU,ES,Locker,Activated,2023-05-09 05:00:00,2023-05-10 08:49:00,,2023-05-11,2023-06-07 08:18:00,,1,27,29
EU,DE,Locker,Closed,2021-02-09 01:02:00,2021-04-08 22:44:00,,2021-04-09,,,58,,
EU,GB,Locker,Decommissioned,2021-01-22 01:01:00,2021-02-16 02:51:00,,2021-05-13,2021-05-27 16:00:00,3/26/23 16:00,25,14,125
EU,DE,Locker,Activated,2020-10-11 15:00:00,2020-12-07 09:42:00,,,2021-01-10 12:50:00,,56,,90
APAC,AU,Locker,Activated,2022-09-08 07:00:00,2022-09-12 07:00:00,,2022-10-04,2022-10-31 19:03:00,10/12/22,4,27,53
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-03-22 12:00:00,,,,,4,,
NA,US,Locker,Send approval forms,2022-11-08 12:00:00,2022-11-16 12:00:00,,,,,8,,
EU,DE,Locker,Approve product configuration,2023-05-31 00:01:00,2023-06-15 08:21:00,,,,,15,,
EU,GB,Locker,Closed,2020-04-20 22:00:00,2020-07-28 13:48:00,,,,,98,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Send approval forms,2023-07-05 00:00:00,2023-07-14 02:49:00,,,,,9,,
EU,IT,Locker,Closed,2020-12-05 01:01:00,2021-01-08 10:05:00,,2021-03-31,2021-06-30 09:14:00,12/1/22 3:00,34,91,207
EU,ES,Locker,Activated,2023-04-05 18:00:00,2023-04-17 07:24:00,,2023-04-18,2023-04-27 02:08:00,,11,9,21
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-03-23 08:20:00,,2021-03-23,2021-05-14 00:40:00,,62,52,113
EU,GB,Locker,Closed,2021-01-22 01:01:00,2021-02-17 02:25:00,,2021-05-13,2021-05-27 16:00:00,3/27/23 16:00,26,14,125
EU,DE,Locker,Activated,2020-08-21 22:01:00,2020-10-22 07:53:00,,,2020-11-01 13:11:00,,61,,71
APAC,AU,Locker,Closed,2022-09-26 07:00:00,2022-09-29 07:00:00,,,,,3,,
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-03-30 12:00:00,,,,,12,,
NA,CA,Locker,Approve product configuration,2022-08-24 12:00:00,2022-09-21 12:00:00,,,,,28,,
EU,DE,Locker,Closed,2021-04-04 15:00:00,2021-06-02 08:10:00,,2021-06-02,2021-06-10 01:50:00,6/27/23 15:00,58,8,66
EU,GB,Locker,Closed,2020-04-20 22:00:00,2020-06-16 14:11:00,,,,,56,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Approve product configuration,2023-07-07 00:01:00,2023-07-13 08:52:00,,,,,6,,
EU,IT,Locker,Activated,2019-05-16 11:13:00,2020-08-03 03:24:00,,,2020-10-22 10:12:00,,444,,524
EU,ES,Locker,Prepare property for installation,2023-05-24 00:00:00,2023-05-24 05:14:00,,2023-05-29,,6/25/23 17:00,0,,
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-03-23 08:20:00,,2021-03-23,2021-06-22 09:59:00,,62,91,153
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-16 02:51:00,,2021-06-02,2021-06-17 16:00:00,,25,15,146
EU,DE,Locker,Closed,,2021-10-15 03:57:00,,2021-10-15,,,,,
APAC,AU,Locker,Activated,2022-09-26 07:00:00,2022-10-05 06:00:00,,2022-10-20,2022-11-22 14:38:00,,8,33,57
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-03-31 12:00:00,,,,,13,,
NA,CA,Locker,Approve product configuration,2022-08-24 12:00:00,2022-09-21 12:00:00,,,,,28,,
EU,DE,Locker,Closed,2021-06-20 15:00:00,2021-09-13 00:28:00,,2021-09-14,2021-09-16 02:50:00,5/4/23 15:00,84,2,87
EU,GB,Locker,Closed,2021-02-04 08:32:00,2021-03-08 10:15:00,,,,,32,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Approve product configuration,2023-07-07 00:01:00,2023-07-13 08:52:00,,,,,6,,
EU,IT,Locker,Activated,2019-05-16 11:13:00,2020-04-02 01:14:00,,,2020-08-17 07:29:00,,321,,458
EU,ES,Locker,Activated,2023-06-07 00:00:00,2023-06-07 14:03:00,,2023-06-07,2023-06-19 05:48:00,,0,12,12
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-05-20 13:36:00,,78,41,120
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-09 08:42:00,,2021-07-14,2021-07-15 16:00:00,,18,1,174
EU,DE,Locker,Activated,2021-02-01 15:00:00,2021-04-28 08:44:00,,2021-04-28,2021-05-21 08:37:00,,85,23,108
APAC,AU,Locker,Activated,2022-09-10 07:00:00,2022-09-12 07:00:00,,2022-09-16,2022-10-19 15:30:00,9/29/22,2,33,39
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-03-29 12:00:00,,,,,11,,
NA,CA,Locker,Approve product configuration,2022-08-24 12:00:00,2022-09-21 12:00:00,,,,,28,,
EU,DE,Locker,Review installation guide and configure product,2023-07-07 00:01:00,2023-07-11 15:00:00,,,,,4,,
EU,GB,Locker,Closed,2020-04-20 22:00:00,2020-05-12 10:29:00,,,,,21,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for consultation,2023-07-07 03:43:00,,,,,,,,
EU,IT,Locker,Closed,2021-07-03 02:39:00,2021-07-08 09:06:00,,,,,5,,
EU,ES,Locker,Activated,,2023-06-05 07:00:00,,2023-06-06,2023-06-15 04:11:00,,,9,
EU,DE,Locker,Activated,2021-02-09 01:02:00,2021-06-30 05:15:00,,2021-06-30,2021-07-20 13:00:00,,141,20,161
EU,GB,Locker,Closed,2021-01-22 01:01:00,2021-02-09 08:42:00,,2021-05-13,2021-05-27 16:00:00,3/28/23 16:00,18,14,125
EU,DE,Locker,Closed,2021-02-01 15:00:00,,,,,,,,
APAC,AU,Locker,Closed,2022-09-08 07:00:00,2022-09-12 07:00:00,,,,,4,,
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-04-02 12:00:00,,,,,15,,
NA,US,Locker,Wait for installation,2023-06-26 03:00:00,2023-06-28 03:00:00,,2023-07-12,2023-07-26 00:00:00,,2,14,29
EU,DE,Locker,Closed,2021-07-19 15:00:00,2021-10-22 04:04:00,,2021-10-22,2021-11-08 05:48:00,7/18/23 15:00,94,17,111
EU,GB,Locker,Closed,2021-02-04 08:21:00,2021-02-17 06:09:00,,,,,12,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for consultation,2023-07-07 03:43:00,,,,,,,,
EU,IT,Locker,Prepare property for installation,2023-01-10 01:00:00,2023-06-07 14:27:00,,,,,148,,
EU,ES,Locker,Activated,2023-05-20 00:00:00,2023-05-24 03:30:00,,2023-05-25,2023-06-09 02:28:00,,4,15,20
EU,DE,Locker,Activated,2021-05-08 01:01:00,2021-06-30 05:15:00,,2021-06-30,2021-07-22 02:02:00,,53,22,75
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-14 12:22:00,,2021-05-13,2021-05-24 16:00:00,,23,11,122
EU,DE,Locker,Closed,2021-02-01 15:00:00,,,,,,,,
APAC,AU,Locker,Closed,2022-07-19 07:00:00,2022-07-24 07:00:00,,,,,5,,
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-03-31 12:00:00,,,,,13,,
NA,US,Locker,Activated,2023-02-03 12:00:00,2023-02-15 12:00:00,,2023-06-15,2023-07-07 03:00:00,,12,22,153
EU,DE,Locker,Approve product configuration,2023-05-31 00:01:00,2023-05-30 03:00:00,,,,,,,
EU,GB,Locker,Closed,2020-04-20 22:00:00,2020-06-12 15:41:00,,,,,52,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for consultation,2023-07-07 03:43:00,,,,,,,,
EU,IT,Locker,Activated,2019-10-03 10:51:00,2019-12-19 10:28:00,,,2019-12-20 04:05:00,,76,,77
EU,ES,Locker,Activated,2023-04-14 18:00:00,2023-04-17 07:24:00,,2023-04-18,2023-04-20 02:48:00,,2,2,5
EU,DE,Locker,Activated,2021-02-09 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-05-21 08:37:00,,58,42,101
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-22 03:27:00,,2021-07-14,2021-07-14 16:00:00,,31,0,173
EU,DE,Locker,Closed,2021-01-03 15:00:00,2020-12-23 09:42:00,,,,,,,
APAC,AU,Locker,Activated,2022-06-23 07:00:00,2022-07-05 07:00:00,,2022-10-04,2022-11-04 17:33:00,10/31/22,12,31,134
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-03-22 12:00:00,,,,,4,,
NA,CA,Locker,Closed,2022-08-24 12:00:00,2022-09-21 12:00:00,,,,,28,,
EU,DE,Locker,Closed,2021-04-29 15:00:00,2021-06-22 02:13:00,,2021-06-22,2021-06-26 02:06:00,5/22/23 15:00,53,4,57
EU,GB,Locker,Closed,2020-04-20 22:00:00,2020-07-02 13:55:00,,,,,72,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for consultation,2023-07-07 03:43:00,,,,,,,,
EU,IT,Locker,Activated,2019-10-11 11:52:00,2019-12-05 02:25:00,,,2020-09-09 08:11:00,,54,,333
EU,ES,Locker,Activated,,2023-04-18 08:59:00,,2023-04-20,2023-05-07 23:57:00,,,17,
EU,DE,Locker,Closed,2021-02-17 15:00:00,2021-06-30 05:15:00,,2021-06-30,2021-07-22 00:00:00,,132,22,154
EU,GB,Locker,Closed,2021-01-22 01:01:00,2021-02-16 02:51:00,,2021-05-13,,,25,,
EU,DE,Locker,Closed,2020-10-11 15:00:00,2020-10-22 08:03:00,,,2021-02-12 08:13:00,9/28/22 15:00,10,,123
APAC,AU,Locker,Activated,2022-07-11 07:00:00,2022-07-17 07:00:00,,2022-10-04,2022-10-18 18:06:00,10/12/22,6,14,99
NA,US,Locker,Closed,2021-03-17 22:00:00,2021-03-30 12:00:00,,,,,12,,
NA,CA,Locker,Approve product configuration,2022-08-24 12:00:00,2022-09-21 12:00:00,,,,,28,,
EU,DE,Locker,Activated,,2023-07-05 15:00:00,,,2019-05-23 17:00:00,,,,
