region,Country Code,program,Status,SurveyRequest,SurveyComplete,WatedTrip,AssetLoad,Activation,Decomm,SurveyCycleTime,InstallCycleTime,e2eCycleTime
EU,GB,Locker,Closed,2020-04-20 22:00:00,,,,,,,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for consultation,2023-07-11 00:00:00,,,,,,,,
EU,IT,Locker,Activated,2019-10-03 10:51:00,2019-12-05 02:24:00,,,2021-01-28 09:45:00,,62,,482
EU,ES,Locker,Activated,,2023-04-18 08:59:00,,,2023-06-28 01:38:00,,,,
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-05-31 05:08:00,,78,52,131
EU,GB,Locker,Closed,2021-01-22 01:01:00,2021-02-14 12:22:00,,2021-05-13,2021-05-27 07:57:00,7/13/22 4:00,23,14,125
EU,DE,Locker,Closed,2021-01-03 15:00:00,2020-12-23 09:49:00,,,2021-03-05 10:40:00,8/23/22 15:00,,,60
APAC,AU,Locker,Closed,2022-08-24 07:00:00,2022-09-08 07:00:00,,,,,15,,
NA,US,Locker,Activated,2022-07-12 12:00:00,2022-07-21 12:00:00,,2023-05-10,2023-06-01 03:00:00,,9,22,323
NA,US,Locker,Prepare property for installation,2023-01-03 12:00:00,2023-01-10 12:00:00,,,,,7,,
EU,DE,Locker,Approve product configuration,2023-05-31 00:01:00,2023-05-26 03:00:00,,,,,,,
EU,GB,Locker,Closed,2020-04-20 22:00:00,2020-06-12 15:41:00,,,,,52,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Wait for consultation,2023-07-11 00:00:00,,,,,,,,
EU,IT,Locker,Activated,2021-03-09 01:01:00,2021-04-20 08:47:00,,2021-05-24,2021-06-18 08:02:00,,42,25,101
EU,ES,Locker,Approve product configuration,,2023-04-18 08:59:00,,2023-04-20,,,,,
EU,DE,Locker,Activated,2021-02-09 01:02:00,2021-03-23 08:20:00,,2021-03-23,2021-04-29 12:44:00,,42,37,79
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-16 02:51:00,,2021-05-13,2021-05-27 16:00:00,,25,14,125
EU,DE,Locker,Activated,2021-04-14 15:00:00,2021-04-16 03:59:00,,2021-04-16,2021-05-09 22:29:00,,1,23,25
APAC,AU,Locker,Activated,2022-09-13 07:00:00,2022-09-15 07:00:00,,2022-12-16,2023-01-23 00:02:00,,2,38,131
NA,US,Locker,Closed,2021-08-01 22:00:00,2021-08-02 22:00:00,,,,,1,,
NA,US,Locker,Activated,2022-11-18 12:00:00,2022-11-28 12:00:00,,2022-12-07,2023-01-12 04:00:00,,10,36,54
EU,DE,Locker,Approve product configuration,2023-05-31 00:01:00,2023-05-25 03:00:00,,,,,,,
EU,GB,Locker,Closed,2020-04-20 22:00:00,,,,,,,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Send approval forms,2023-07-08 00:00:00,2023-07-14 02:49:00,,,,,6,,
EU,IT,Locker,Activated,2021-09-20 01:00:00,2021-10-15 08:54:00,,2023-02-06,2023-02-10 09:14:00,,25,4,508
EU,ES,Locker,Activated,,2023-04-18 08:59:00,,2023-05-29,2023-06-19 05:19:00,,,21,
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-05-26 14:23:00,,78,47,126
EU,GB,Locker,Decommissioned,2021-01-22 01:01:00,2021-02-16 02:51:00,,2021-05-13,2021-05-26 16:00:00,3/29/23 16:00,25,13,124
EU,DE,Locker,Closed,2021-04-14 15:00:00,2021-05-05 13:54:00,,2021-05-05,2021-05-14 10:40:00,6/23/22 15:00,20,9,29
APAC,AU,Locker,Activated,2022-06-23 07:00:00,2022-07-03 07:00:00,,2022-08-23,2022-10-18 18:06:00,9/5/22,10,56,117
NA,US,Locker,Closed,2021-08-01 22:00:00,2021-08-04 22:00:00,,,,,3,,
NA,US,Locker,Closed,2023-01-22 12:00:00,2023-01-24 12:00:00,2023-01-24 12:00:00,,,,2,,
EU,DE,Locker,Wait for installation,,2023-06-30 06:33:00,,2023-07-03,2023-07-21 00:00:00,,,18,
EU,GB,Locker,Closed,2020-04-20 22:00:00,2020-06-04 08:42:00,,,,,44,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Activated,2022-11-05 02:01:00,2022-11-11 07:50:00,,2022-12-03,2022-12-15 00:45:00,,6,12,39
EU,IT,Locker,Activated,2018-11-08 16:00:00,2019-01-31 16:00:00,,,2019-03-28 17:00:00,,84,,140
EU,ES,Locker,Approve product configuration,,2023-04-18 08:59:00,,2023-04-20,,,,,
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-05-31 05:08:00,,78,52,131
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-22 03:27:00,,2021-06-03,2021-06-09 16:00:00,,31,6,138
EU,DE,Locker,Closed,2021-02-15 15:00:00,2021-02-16 07:32:00,,2021-02-16,2021-04-18 22:53:00,6/1/22 15:00,0,61,62
APAC,AU,Locker,Closed,2022-06-23 07:00:00,2022-07-05 07:00:00,,,,,12,,
NA,US,Locker,Closed,2021-08-01 22:00:00,2021-09-02 22:00:00,,,,,32,,
NA,US,Locker,Activated,,2023-04-13 03:00:00,,2023-06-07,2023-06-22 03:00:00,,,15,
EU,DE,Locker,Closed,,,,,2018-11-27 16:00:00,,,,
EU,GB,Locker,Closed,2020-04-08 22:00:00,2020-04-09 07:05:00,,,,,0,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Activated,2022-11-05 02:01:00,2022-11-15 10:15:00,,2022-12-03,2022-12-13 07:40:00,,10,10,38
EU,IT,Locker,Prepare property for installation,2022-02-15 01:00:00,2023-06-07 14:20:00,,,,,477,,
EU,ES,Locker,Activated,2023-04-19 18:00:00,2023-05-03 05:52:00,,2023-05-10,2023-05-31 03:28:00,,13,21,41
EU,DE,Locker,Activated,2021-11-02 16:00:00,2021-12-01 06:05:00,,2021-12-01,2021-12-20 02:25:00,,28,19,47
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-09 08:42:00,,2021-05-13,2021-05-19 16:00:00,,18,6,117
EU,DE,Locker,Activated,2021-02-15 15:00:00,2021-02-16 07:32:00,,2021-02-16,2021-05-14 10:40:00,,0,87,87
APAC,AU,Locker,Closed,2022-07-31 07:00:00,2022-08-02 07:00:00,,,,,2,,
NA,US,Locker,Closed,2021-08-01 22:00:00,2021-08-04 22:00:00,,,,,3,,
NA,US,Locker,Closed,,2023-03-02 12:00:00,,,,,,,
EU,DE,Locker,Closed,2023-05-04 08:30:00,2023-05-02 15:00:00,,,,,,,
EU,GB,Locker,Closed,2020-04-08 22:00:00,2021-05-15 12:25:00,,,,,401,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Activated,2022-11-05 02:01:00,2022-11-11 07:50:00,,2022-12-03,2022-12-15 00:45:00,,6,12,39
EU,IT,Locker,Prepare property for installation,2023-01-10 01:00:00,2023-06-07 14:27:00,,,,,148,,
EU,ES,Locker,Activated,2023-04-19 18:00:00,2023-05-03 05:52:00,,2023-05-23,2023-06-06 04:08:00,,13,14,47
EU,DE,Locker,Activated,2021-02-09 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-04-26 11:19:00,,58,17,76
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-11 05:43:00,,2021-05-13,2021-05-25 16:00:00,,20,12,123
EU,DE,Locker,Activated,2021-04-14 15:00:00,2021-04-16 03:59:00,,2021-04-16,2021-05-09 22:29:00,,1,23,25
APAC,AU,Locker,Closed,2022-07-19 07:00:00,2022-07-20 07:00:00,,,,,1,,
NA,US,Locker,Closed,2021-08-01 22:00:00,2021-08-11 22:00:00,,,,,10,,
NA,US,Locker,Closed,2022-04-26 12:00:00,2022-05-08 12:00:00,,,,,12,,
EU,DE,Locker,Closed,2023-02-17 01:00:00,2023-02-28 03:00:00,,,,,11,,
EU,GB,Locker,Closed,2022-08-20 01:00:00,2022-09-20 05:36:00,,,,,31,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Activated,2022-11-05 02:01:00,2022-11-11 07:50:00,,2023-04-12,2023-04-26 01:38:00,,6,14,171
EU,IT,Locker,Activated,2021-09-24 01:01:00,2021-10-15 08:53:00,,2022-05-23,2022-06-23 02:39:00,,21,31,272
EU,ES,Locker,Activated,2023-04-19 18:00:00,2023-05-03 05:52:00,,2023-05-10,2023-06-07 03:58:00,,13,28,48
EU,DE,Locker,Activated,2021-02-09 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-07-08 06:31:00,,58,90,149
EU,GB,Locker,Closed,2021-02-02 01:01:00,2021-02-22 02:50:00,,,,,20,,
EU,DE,Locker,Activated,2021-04-14 15:00:00,2021-04-16 03:59:00,,2021-04-16,2021-05-09 22:29:00,,1,23,25
APAC,AU,Locker,Activated,2022-06-23 07:00:00,2022-07-04 07:00:00,,2022-09-16,2022-11-08 12:43:00,11/1/22,11,53,138
NA,US,Locker,Closed,2021-08-01 22:00:00,2021-08-12 22:00:00,,,,,11,,
NA,US,Locker,Closed,2022-10-03 12:00:00,2023-02-06 12:00:00,,,,,126,,
EU,DE,Locker,Closed,2023-02-17 01:00:00,2023-02-23 03:00:00,,,,,6,,
EU,GB,Locker,Closed,2022-03-04 01:00:00,,,,,,,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Closed,2022-11-04 02:00:00,2022-11-08 07:39:00,,,,,4,,
EU,IT,Locker,Activated,2019-05-16 11:13:00,,,,2020-06-22 08:55:00,,,,402
EU,ES,Locker,Activated,2023-04-19 18:00:00,2023-05-03 05:52:00,,2023-05-23,2023-06-08 01:28:00,,13,16,49
EU,DE,Locker,Activated,2021-11-02 16:00:00,2021-12-01 06:05:00,,2021-12-01,2021-12-09 11:33:00,,28,8,36
EU,GB,Locker,Activated,2020-02-11 21:00:00,2020-11-06 08:47:00,,2020-11-06,2020-11-15 16:00:00,,268,9,277
EU,DE,Locker,Activated,2021-04-14 15:00:00,2021-04-16 03:59:00,,2021-04-16,2021-04-29 12:46:00,,1,13,14
APAC,AU,Locker,Activated,2022-07-12 07:00:00,2022-07-13 07:00:00,,2022-09-06,2022-10-18 18:06:00,9/23/22,1,42,98
NA,US,Locker,Closed,2021-08-01 22:00:00,2021-08-19 22:00:00,,,,,18,,
NA,US,Locker,Activated,2022-10-31 12:00:00,2022-11-02 12:00:00,,2023-05-10,2023-05-24 03:00:00,,2,14,204
EU,DE,Locker,Closed,2023-04-04 18:00:00,2023-03-24 04:00:00,,,,,,,
EU,GB,Locker,Activated,,,,,2019-11-21 16:00:00,,,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Apt Locker,Closed,2022-11-08 01:00:00,,,,,,,,
EU,IT,Locker,Activated,2019-07-01 05:57:00,,,,2020-02-23 07:43:00,,,,237
EU,ES,Locker,Activated,2023-04-19 18:00:00,2023-05-03 05:52:00,,2023-05-10,2023-06-13 02:28:00,,13,34,54
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-04-28 12:04:00,,78,19,98
EU,GB,Locker,Closed,2021-01-22 01:01:00,2021-02-22 03:27:00,,2021-05-13,2021-06-08 06:35:00,9/9/21 4:00,31,26,137
EU,DE,Locker,Closed,2021-04-14 15:00:00,2021-04-16 03:59:00,,2021-04-16,2021-04-29 12:46:00,8/2/21 15:00,1,13,14
APAC,AU,Locker,Activated,2022-06-09 07:00:00,2022-06-20 07:00:00,,2022-07-05,2022-10-31 18:42:00,8/18/22,11,118,144
NA,US,Locker,Closed,2021-08-01 22:00:00,2021-08-05 22:00:00,,,,,4,,
NA,US,Locker,Activated,,2023-02-21 12:00:00,,2023-04-26,2023-06-08 03:00:00,,,43,
EU,DE,Locker,Closed,2023-02-17 01:00:00,2023-02-20 03:00:00,,,,,3,,
EU,GB,Locker,Activated,,,,,2019-09-05 16:00:00,,,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Activated,2022-12-03 01:00:00,2022-12-23 01:39:00,,2022-12-29,2023-01-12 09:20:00,,20,14,40
EU,IT,Locker,Activated,2019-06-17 09:28:00,,,2019-11-06,2019-12-02 00:30:00,,,26,167
EU,ES,Locker,Activated,2023-04-19 18:00:00,2023-05-03 05:52:00,,2023-05-23,2023-06-06 01:18:00,,13,14,47
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-03-23 08:20:00,,2021-03-23,2021-04-20 23:58:00,,62,28,90
EU,GB,Locker,Closed,2021-01-22 01:01:00,2021-02-14 12:22:00,,2021-05-13,2021-05-25 16:00:00,3/26/23 16:00,23,12,123
EU,DE,Locker,Activated,2021-04-14 15:00:00,2021-04-16 03:59:00,,2021-04-16,2021-05-09 22:30:00,,1,23,25
APAC,AU,Locker,Closed,2022-11-02 06:00:00,2022-11-06 05:00:00,,,,,3,,
NA,US,Locker,Closed,2021-08-01 22:00:00,2021-08-10 22:00:00,,,,,9,,
NA,US,Locker,Approve product configuration,2022-11-07 12:00:00,2022-11-15 12:00:00,,,,,8,,
EU,DE,Locker,Closed,,,,,,,,,
EU,GB,Locker,Activated,2022-03-31 01:00:00,2022-04-07 07:32:00,,2022-04-12,2022-04-26 16:00:00,,7,14,26
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Activated,2022-12-02 01:00:00,2022-12-14 02:27:00,,2023-04-24,2023-05-10 08:02:00,,12,16,159
EU,IT,Locker,Activated,2019-06-21 03:57:00,2019-12-05 02:25:00,,,2020-05-12 11:03:00,,166,,326
EU,ES,Locker,Activated,2023-04-19 18:00:00,2023-05-03 05:52:00,,2023-05-23,2023-06-06 03:28:00,,13,14,47
EU,DE,Locker,Activated,2021-05-08 01:01:00,2021-06-30 05:15:00,,2021-06-30,2021-07-15 03:46:00,,53,15,68
EU,GB,Locker,Closed,2021-01-22 01:01:00,2021-02-16 02:51:00,,2021-05-13,2021-09-23 16:00:00,3/23/23 17:00,25,133,244
EU,DE,Locker,Closed,2020-12-08 15:00:00,2020-10-19 01:07:00,,,2020-12-23 00:00:00,6/16/21 15:00,,,14
APAC,AU,Locker,Closed,2022-07-19 07:00:00,2022-07-24 07:00:00,,,,,5,,
NA,US,Locker,Closed,2021-08-01 22:00:00,2021-08-05 22:00:00,,,,,4,,
NA,US,Locker,Approve product configuration,2022-11-07 12:00:00,2022-11-15 12:00:00,,,,,8,,
EU,DE,Locker,Activated,,2023-06-15 07:44:00,,2023-06-20,2023-06-26 04:48:00,,,6,
EU,GB,Locker,Activated,,,,,2019-03-29 17:00:00,,,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Activated,2022-02-17 01:00:00,2022-03-02 03:44:00,,2022-03-08,2022-03-31 10:29:00,,13,23,42
EU,IT,Locker,Activated,2022-04-08 01:00:00,2022-04-21 04:24:00,,,2022-09-30 08:56:00,,13,,175
EU,ES,Locker,Activated,2023-04-19 18:00:00,2023-05-03 05:52:00,,2023-05-23,2023-06-08 03:08:00,,13,16,49
EU,DE,Locker,Activated,2021-02-09 01:02:00,2021-04-08 22:44:00,,2021-04-09,2022-02-28 07:38:00,,58,325,384
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-22 03:27:00,,2021-10-15,2021-10-18 16:00:00,,31,3,269
EU,DE,Locker,Activated,2020-08-21 22:01:00,2020-10-19 08:28:00,,,2020-10-24 10:16:00,,58,,63
APAC,AU,Locker,Activated,2022-11-13 05:00:00,2022-11-15 05:00:00,,2022-12-15,2023-02-01 18:44:00,,2,48,80
NA,US,Locker,Closed,2021-08-01 22:00:00,2021-08-04 22:00:00,,,,,3,,
NA,US,Locker,Approve product configuration,2022-11-07 12:00:00,2022-11-15 12:00:00,,,,,8,,
EU,DE,Locker,Closed,2023-03-10 01:01:00,,,,,,,,
EU,GB,Locker,Activated,,,,,2019-12-18 16:00:00,,,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Decommissioned,2022-10-06 01:00:00,2022-10-12 23:46:00,,2022-11-17,2022-12-08 05:54:00,6/14/23 3:00,6,21,63
EU,IT,Locker,Activated,2021-11-04 02:02:00,2021-12-15 08:44:00,,2022-06-28,2022-07-08 06:23:00,,41,10,246
EU,ES,Locker,Activated,2023-04-19 18:00:00,2023-05-03 05:52:00,,2023-05-10,2023-05-31 01:38:00,,13,21,41
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-03-23 08:20:00,,2021-03-23,2021-05-26 14:23:00,,62,64,126
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-14 12:22:00,,2021-05-13,2021-05-25 16:00:00,,23,12,123
EU,DE,Locker,Activated,2021-03-16 16:00:00,2021-03-17 05:18:00,,2021-03-17,2021-04-09 11:34:00,,0,23,23
APAC,AU,Locker,Closed,2022-11-15 05:00:00,2022-11-20 05:00:00,,,,,5,,
NA,US,Locker,Activated,,2023-01-26 12:00:00,,2023-04-26,2023-05-08 03:00:00,,,12,
NA,US,Locker,Sign contract (optional),2023-06-13 22:09:00,2023-06-27 03:00:00,,,,,13,,
EU,DE,Locker,Closed,2023-03-10 01:01:00,,,,,,,,
EU,GB,Locker,Activated,,,,,2019-12-17 16:00:00,6/6/22 4:00,,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Closed,2022-10-20 01:00:00,2022-11-18 04:17:00,,2022-12-03,2022-12-23 00:42:00,9/4/23 15:00,29,20,63
EU,IT,Locker,Wait for consultation,2023-03-15 02:00:00,,,,,,,,
EU,ES,Locker,Activated,2023-04-19 18:00:00,2023-05-03 05:52:00,,2023-05-23,2023-06-08 02:18:00,,13,16,49
EU,DE,Locker,Activated,2021-05-08 01:01:00,2021-07-20 11:34:00,,2021-07-20,2021-09-03 08:18:00,,73,45,118
EU,GB,Locker,Closed,2021-01-22 01:01:00,2021-02-14 12:22:00,,2021-05-13,2021-05-25 16:00:00,3/23/23 17:00,23,12,123
EU,DE,Locker,Closed,2021-03-16 16:00:00,2021-03-17 05:18:00,,2021-03-17,2021-03-29 22:44:00,,0,12,13
APAC,AU,Locker,Closed,2022-11-15 05:00:00,2022-11-20 05:00:00,,,,,5,,
NA,US,Locker,Closed,2021-08-01 22:00:00,2021-08-10 22:00:00,,,,,9,,
NA,CA,Locker,Closed,2022-09-30 12:00:00,2022-10-22 12:00:00,2022-10-22 12:00:00,,,,22,,
EU,DE,Locker,Closed,2023-03-10 01:01:00,,,,,,,,
EU,GB,Locker,Activated,,,,,2019-07-16 16:00:00,,,,
EU,DE,Locker,Closed,2021-07-19 15:00:00,,,,,,,,
EU,IT,Locker,Closed,2022-10-20 01:00:00,2022-10-27 01:56:00,,,,,7,,
EU,IT,Locker,Activated,2018-11-08 16:00:00,,,,2020-10-13 11:06:00,,,,704
EU,ES,Locker,Activated,2023-04-19 18:00:00,2023-05-03 05:52:00,,2023-05-10,2023-05-31 00:48:00,,13,21,41
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-03-23 08:20:00,,2021-03-23,2021-04-28 12:04:00,,62,36,98
EU,GB,Locker,Closed,2021-01-19 01:01:00,2021-02-10 09:17:00,,2021-07-21,2021-08-03 00:00:00,,22,13,195
EU,DE,Locker,Closed,,2021-05-05 13:48:00,,,2021-05-05 13:49:00,6/21/22 15:00,,,
APAC,AU,Locker,Activated,2022-11-15 05:00:00,2022-11-20 05:00:00,,2022-12-13,2022-12-29 17:26:00,,5,16,44
NA,US,Locker,Closed,2021-08-01 22:00:00,2021-08-05 22:00:00,,,,,4,,
NA,US,Locker,Closed,2022-08-24 12:00:00,2022-11-18 12:00:00,,,,,86,,
EU,DE,Locker,Closed,2023-03-10 01:01:00,2023-03-15 16:00:00,,,,,5,,
EU,GB,Locker,Decommissioned,,,,,2019-12-18 16:00:00,3/1/23 4:00,,,
EU,DE,Locker,Closed,2020-09-01 15:00:00,,,,,,,,
EU,IT,Locker,Activated,2022-07-22 01:02:00,2022-08-04 06:29:00,,2022-08-16,2022-09-12 03:23:00,,13,27,52
EU,IT,Locker,Activated,2021-10-26 01:00:00,2023-06-07 14:28:00,,2023-06-29,2023-07-12 05:18:00,,589,13,624
EU,ES,Locker,Activated,2023-04-03 18:00:00,2023-04-04 06:49:00,,2023-04-05,2023-04-13 04:07:00,,0,8,9
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-03-23 08:20:00,,2021-03-23,2021-04-28 12:04:00,,62,36,98
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-16 02:51:00,,2021-05-13,2021-05-27 16:00:00,,25,14,125
EU,DE,Locker,Activated,2021-03-25 16:00:00,2021-03-25 05:55:00,,2021-03-25,2021-04-28 12:04:00,,,34,33
APAC,AU,Locker,Closed,2022-11-15 05:00:00,2022-11-17 05:00:00,,,,,2,,
NA,US,Locker,Closed,2021-08-01 22:00:00,2021-08-05 22:00:00,,,,,4,,
NA,CA,Locker,Closed,2022-09-30 12:00:00,2022-10-21 12:00:00,2022-10-21 12:00:00,,,,21,,
EU,DE,Locker,Closed,2023-03-10 01:01:00,,,,,,,,
EU,GB,Locker,Activated,,,,,2019-12-17 16:00:00,,,,
EU,DE,Locker,Closed,2021-08-25 15:00:00,,,,,,,,
EU,IT,Locker,Closed,2022-10-08 01:00:00,2022-10-20 04:17:00,,2022-10-24,2022-11-11 08:57:00,5/18/23 3:00,12,18,34
EU,IT,Locker,Activated,2022-01-20 01:00:00,2022-02-24 09:53:00,,2023-01-11,2023-01-13 09:03:00,,35,2,358
EU,ES,Locker,Activated,,2021-03-11 08:29:00,,2021-03-12,2021-04-16 04:24:00,,,35,
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-03-23 08:20:00,,2021-03-23,2021-06-21 05:14:00,,62,90,152
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-12 08:46:00,,2021-05-13,2021-05-23 16:00:00,,21,10,121
EU,DE,Locker,Closed,2021-03-25 16:00:00,2021-04-14 07:09:00,,2021-03-25,2021-04-22 13:26:00,5/29/23 15:00,19,28,27
APAC,AU,Locker,Activated,2022-11-17 05:00:00,2022-11-20 05:00:00,,2022-12-21,2022-12-29 17:22:00,,3,8,42
NA,US,Locker,Activated,2022-07-12 12:00:00,2022-07-18 12:00:00,,2022-11-23,2023-03-06 11:32:00,,6,103,236
NA,CA,Locker,Closed,2022-09-30 12:00:00,2022-10-13 12:00:00,2022-10-13 12:00:00,,,,13,,
EU,DE,Locker,Activated,2023-02-01 01:00:00,2023-02-14 03:00:00,,2023-04-05,2023-04-24 03:58:00,,13,19,82
EU,GB,Locker,Closed,2020-04-20 22:00:00,,,,,,,,
EU,DE,Locker,Closed,2021-08-25 15:00:00,,,,,,,,
EU,IT,Locker,Activated,2022-10-20 01:00:00,2022-10-25 07:17:00,,2022-11-03,2022-11-16 03:11:00,,5,13,27
EU,IT,Locker,Prepare property for installation,2022-11-26 01:00:00,2023-06-07 14:22:00,,,,,193,,
EU,ES,Locker,Activated,,2021-03-11 08:33:00,,2021-03-12,2021-04-26 03:36:00,,,45,
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-06-30 11:52:00,,78,82,161
EU,GB,Locker,Decommissioned,2021-01-22 01:01:00,2021-02-22 07:25:00,,2021-10-20,2021-10-24 16:00:00,3/27/23 16:00,31,4,275
EU,DE,Locker,Activated,2020-12-16 15:00:00,2020-12-17 11:01:00,,,2021-02-26 07:17:00,,0,,71
APAC,AU,Locker,Closed,2022-11-17 05:00:00,2022-11-22 05:00:00,,,,,5,,
NA,US,Locker,Activated,,2022-08-05 12:00:00,,2023-01-18,2023-01-28 12:00:00,,,10,
NA,US,Locker,Closed,2022-09-01 12:00:00,2022-09-20 12:00:00,,,,,19,,
EU,DE,Locker,Activated,2023-05-12 00:00:00,2023-05-15 15:00:00,,2023-06-15,2023-06-27 04:28:00,,3,12,46
EU,GB,Locker,Activated,,,,,2019-12-29 16:00:00,,,,
EU,DE,Locker,Closed,2021-08-25 15:00:00,,,,,,,,
EU,IT,Locker,Closed,2022-07-27 01:00:00,2022-09-23 08:07:00,,,,,58,,
EU,IT,Locker,Prepare property for installation,2023-02-09 01:01:00,2023-06-07 14:27:00,,,,,118,,
EU,ES,Locker,Activated,,2021-03-11 08:33:00,,2021-03-12,2021-05-13 07:34:00,,,62,
EU,DE,Locker,Activated,2021-01-20 01:02:00,2021-04-08 22:44:00,,2021-04-09,2021-05-31 05:55:00,,78,52,131
EU,GB,Locker,Activated,2021-01-22 01:01:00,2021-02-17 02:25:00,,2021-05-13,2021-05-26 16:00:00,,26,13,124
EU,DE,Locker,Activated,2020-12-16 15:00:00,2020-12-17 11:01:00,,,2021-03-11 12:06:00,,0,,84
APAC,AU,Locker,Closed,2022-11-17 05:00:00,2022-11-24 05:00:00,,,,,7,,
NA,US,Locker,Schedule installation,,2022-09-22 12:00:00,,2023-07-05,,,,,
NA,US,Locker,Activated,2022-11-29 12:00:00,2022-12-02 12:00:00,,2023-02-22,2023-03-15 11:28:00,,3,21,105
EU,DE,Locker,Wait for installation,2022-10-05 01:00:00,2023-06-07 14:22:00,,2023-06-30,,,245,,
EU,GB,Locker,Activated,,,,,2019-08-26 16:00:00,,,,
EU,DE,Locker,Closed,2021-08-25 15:00:00,,,,,,,,
EU,IT,Locker,Activated,2022-10-26 01:09:00,2022-11-08 07:39:00,,2022-11-17,2022-11-30 05:30:00,,13,13,35
EU,IT,Locker,Activated,2022-02-02 01:00:00,2022-02-23 03:41:00,,2022-12-14,2022-12-19 01:28:00,,21,5,320
EU,ES,Locker,Activated,,2021-03-11 08:33:00,,2021-03-12,2021-05-06 06:37:00,,,55,
